y_real,y_predicha,probabilidad,correcto
1,1,0.699414,1
0,0,0.63142,1
0,0,0.986597,1
0,0,0.984651,1
0,0,0.69104,1
1,1,0.613828,1
1,0,0.643227,0
2,2,0.990877,1
0,1,0.492871,0
1,0,0.523053,0
2,1,0.59278,0
2,1,0.566208,0
0,0,0.545088,1
2,2,0.991475,1
2,2,0.991421,1
0,0,0.585877,1
0,0,0.986118,1
2,2,0.990473,1
2,2,0.991706,1
1,0,0.636387,0
1,1,0.571891,1
0,0,0.983332,1
2,2,0.991504,1
0,1,0.599479,0
0,0,0.656708,1
0,0,0.710536,1
2,1,0.622673,0
1,1,0.563587,1
1,0,0.562047,0
1,0,0.515309,0
0,0,0.570728,1
2,2,0.990846,1
2,2,0.991536,1
2,2,0.991998,1
2,1,0.644918,0
2,2,0.991789,1
0,0,0.593743,1
1,1,0.661355,1
2,1,0.625088,0
2,2,0.989875,1
2,2,0.991097,1
0,1,0.695607,0
0,0,0.98511,1
2,2,0.991911,1
0,0,0.531082,1
2,2,0.991232,1
2,2,0.991149,1
2,2,0.988521,1
1,1,0.640557,1
2,2,0.991368,1
0,0,0.987075,1
2,2,0.991259,1
2,1,0.5319,0
0,0,0.985,1
1,1,0.696764,1
0,1,0.550811,0
0,0,0.986907,1
2,2,0.99034,1
0,0,0.633907,1
1,0,0.64957,0
1,1,0.594008,1
1,1,0.600955,1
2,2,0.990943,1
2,2,0.991274,1
0,0,0.984528,1
2,2,0.990344,1
1,0,0.580735,0
0,0,0.986195,1
0,0,0.586603,1
0,0,0.985376,1
2,1,0.466012,0
2,2,0.991716,1
0,0,0.985538,1
2,2,0.990743,1
1,1,0.684839,1
0,0,0.631496,1
0,0,0.549697,1
0,0,0.986202,1
2,2,0.992021,1
1,1,0.678553,1
2,1,0.614581,0
2,2,0.991201,1
0,0,0.529448,1
0,0,0.986307,1
0,1,0.601989,0
2,1,0.525592,0
1,1,0.664233,1
0,1,0.655987,0
0,0,0.53852,1
1,1,0.704329,1
2,2,0.990618,1
1,1,0.67592,1
0,0,0.985343,1
0,0,0.984154,1
0,0,0.651365,1
0,0,0.650676,1
0,0,0.634831,1
0,0,0.569121,1
0,0,0.986973,1
2,2,0.991266,1
2,2,0.989258,1
0,0,0.98381,1
2,2,0.991512,1
0,0,0.65445,1
2,2,0.991386,1
0,0,0.986248,1
1,1,0.604129,1
1,1,0.648983,1
0,0,0.751598,1
0,1,0.585874,0
0,1,0.407084,0
0,0,0.984131,1
0,0,0.497156,1
0,0,0.557262,1
2,2,0.991004,1
0,1,0.559646,0
1,1,0.683945,1
0,0,0.985904,1
0,0,0.983883,1
1,1,0.613828,1
2,2,0.99095,1
2,2,0.991626,1
0,0,0.980866,1
0,0,0.986077,1
0,0,0.986885,1
1,1,0.521982,1
1,1,0.651662,1
0,0,0.986013,1
2,2,0.990964,1
1,1,0.708994,1
1,1,0.645266,1
0,0,0.987428,1
0,0,0.986754,1
2,1,0.497249,0
0,0,0.986351,1
1,0,0.547941,0
1,0,0.598718,0
2,2,0.990235,1
1,1,0.656509,1
1,1,0.649979,1
0,0,0.985624,1
1,1,0.530718,1
2,2,0.990457,1
1,1,0.598126,1
1,0,0.524347,0
1,0,0.536016,0
1,1,0.520551,1
1,0,0.530808,0
2,2,0.989747,1
1,0,0.516298,0
0,0,0.984777,1
0,1,0.515933,0
2,2,0.989835,1
1,1,0.570474,1
2,2,0.991069,1
0,0,0.604056,1
0,0,0.530974,1
2,1,0.533189,0
2,2,0.991644,1
1,1,0.662907,1
0,0,0.584567,1
2,2,0.991115,1
0,0,0.525985,1
0,1,0.561497,0
2,1,0.582274,0
2,2,0.990221,1
2,2,0.990662,1
1,1,0.732578,1
0,0,0.667288,1
0,0,0.984817,1
1,1,0.685051,1
2,1,0.525888,0
1,1,0.719047,1
1,1,0.662948,1
2,2,0.991273,1
1,1,0.520551,1
0,0,0.584193,1
1,1,0.660412,1
2,2,0.991843,1
0,0,0.983825,1
1,0,0.650331,0
2,1,0.637751,0
0,1,0.501959,0
0,0,0.983767,1
1,1,0.637713,1
2,2,0.991149,1
2,2,0.991037,1
1,1,0.740131,1
1,1,0.504377,1
2,2,0.990897,1
1,1,0.499688,1
0,0,0.985161,1
2,1,0.608813,0
2,2,0.989989,1
0,0,0.980096,1
2,2,0.990017,1
2,1,0.693774,0
0,0,0.986111,1
1,1,0.541412,1
1,1,0.664255,1
1,1,0.656968,1
1,1,0.704329,1
2,2,0.991903,1
2,2,0.991264,1
0,1,0.671471,0
0,0,0.986139,1
1,2,0.50082,0
1,1,0.601347,1
2,1,0.572828,0
1,1,0.539788,1
0,0,0.985529,1
1,0,0.566519,0
0,0,0.986056,1
0,0,0.986562,1
0,1,0.671295,0
0,0,0.985383,1
2,2,0.991396,1
0,1,0.478373,0
0,0,0.986147,1
1,1,0.675193,1
2,2,0.991923,1
0,1,0.667086,0
2,2,0.991706,1
2,2,0.991215,1
2,2,0.990899,1
2,2,0.991221,1
1,1,0.699628,1
2,2,0.991389,1
2,2,0.992051,1
0,0,0.521353,1
0,0,0.548193,1
2,2,0.989563,1
0,0,0.619208,1
1,1,0.729325,1
2,2,0.991563,1
1,1,0.632665,1
2,2,0.990895,1
2,2,0.991219,1
1,0,0.631054,0
2,2,0.990648,1
0,0,0.984405,1
1,1,0.591872,1
2,1,0.63472,0
1,0,0.605286,0
2,2,0.991789,1
2,2,0.991462,1
2,2,0.989835,1
0,0,0.695262,1
0,0,0.983865,1
0,0,0.527165,1
2,1,0.693252,0
2,2,0.991033,1
2,1,0.632083,0
2,1,0.591205,0
2,2,0.99123,1
1,0,0.544464,0
1,1,0.594045,1
0,0,0.986188,1
0,1,0.50492,0
0,0,0.986051,1
0,1,0.506368,0
2,2,0.991307,1
1,1,0.664255,1
1,1,0.693614,1
2,1,0.457558,0
2,2,0.99144,1
0,0,0.984029,1
2,2,0.990222,1
2,2,0.989747,1
0,0,0.987019,1
1,1,0.658638,1
0,0,0.985281,1
0,1,0.637793,0
1,1,0.650154,1
0,0,0.682591,1
1,1,0.621449,1
2,2,0.990266,1
1,1,0.689867,1
0,0,0.985978,1
1,1,0.68385,1
0,0,0.985124,1
0,1,0.518232,0
0,0,0.986993,1
2,1,0.726583,0
1,1,0.62584,1
2,2,0.991299,1
2,2,0.991364,1
1,1,0.638148,1
1,1,0.524722,1
2,2,0.990793,1
1,0,0.529165,0
2,2,0.991818,1
0,1,0.569267,0
2,2,0.991941,1
1,1,0.649246,1
2,2,0.991824,1
1,1,0.656968,1
0,0,0.985406,1
0,0,0.710962,1
1,1,0.665845,1
0,1,0.568958,0
1,1,0.637818,1
2,2,0.99136,1
0,1,0.58677,0
0,1,0.562307,0
0,0,0.985973,1
0,0,0.984292,1
0,1,0.638502,0
2,1,0.709087,0
0,0,0.687552,1
2,2,0.991031,1
2,1,0.659972,0
0,0,0.985249,1
2,2,0.991036,1
2,1,0.575368,0
2,2,0.989388,1
2,1,0.624282,0
1,1,0.680676,1
1,0,0.499353,0
