y_real,y_predicha,probabilidad,correcto
1,1,0.837295,1
2,2,0.99098,1
1,1,0.90629,1
0,0,0.791157,1
0,0,0.988892,1
0,0,0.970255,1
1,1,0.880635,1
1,1,0.895788,1
2,2,0.993756,1
0,0,0.993587,1
1,1,0.786128,1
1,1,0.701927,1
1,1,0.825383,1
2,2,0.994279,1
0,0,0.990473,1
2,2,0.789016,1
0,0,0.995497,1
2,2,0.996999,1
2,2,0.843329,1
2,2,0.994972,1
0,0,0.816906,1
0,0,0.994611,1
0,0,0.696921,1
1,1,0.906625,1
0,0,0.610884,1
1,1,0.908428,1
2,2,0.996338,1
0,0,0.659047,1
1,1,0.91541,1
1,0,0.523821,0
1,0,0.507278,0
2,2,0.993971,1
0,0,0.767905,1
1,2,0.554714,0
2,2,0.994028,1
1,1,0.643707,1
1,1,0.912114,1
0,0,0.985131,1
0,0,0.961745,1
2,2,0.921672,1
0,0,0.650197,1
0,0,0.706569,1
2,2,0.992806,1
2,2,0.996743,1
1,1,0.867182,1
0,0,0.993791,1
0,0,0.922354,1
2,2,0.995998,1
0,0,0.989599,1
0,0,0.975861,1
1,1,0.791416,1
1,1,0.901362,1
0,0,0.553009,1
1,1,0.86479,1
2,2,0.993087,1
1,1,0.477411,1
1,1,0.705318,1
2,2,0.916803,1
1,1,0.789741,1
0,0,0.88469,1
0,0,0.943462,1
0,0,0.691993,1
1,1,0.916746,1
1,1,0.861776,1
1,0,0.523821,0
2,2,0.896559,1
1,1,0.822433,1
1,1,0.854645,1
2,2,0.767055,1
0,0,0.973785,1
2,2,0.714053,1
0,0,0.618973,1
1,1,0.715996,1
0,0,0.808494,1
1,1,0.930413,1
1,1,0.878567,1
2,2,0.995613,1
0,0,0.975489,1
2,2,0.757381,1
0,0,0.994261,1
2,2,0.716151,1
0,0,0.983114,1
0,0,0.961745,1
1,1,0.932608,1
1,1,0.858063,1
2,2,0.992501,1
1,1,0.87841,1
0,0,0.606429,1
0,0,0.987573,1
1,0,0.721757,0
0,0,0.972848,1
2,1,0.658474,0
0,0,0.947706,1
0,0,0.668862,1
0,0,0.789395,1
1,1,0.890885,1
1,1,0.745169,1
1,1,0.804985,1
0,0,0.972908,1
2,2,0.886758,1
0,0,0.710714,1
0,0,0.983347,1
2,2,0.988486,1
2,2,0.992055,1
1,1,0.904545,1
2,2,0.955429,1
2,2,0.99471,1
2,2,0.489549,1
2,2,0.990611,1
0,0,0.933328,1
2,2,0.99617,1
2,1,0.810171,0
2,2,0.492625,1
0,0,0.967782,1
2,2,0.987931,1
0,0,0.994224,1
2,2,0.995088,1
1,1,0.875923,1
0,0,0.972219,1
0,0,0.973219,1
1,1,0.875758,1
0,0,0.886474,1
0,0,0.965685,1
0,0,0.993274,1
0,0,0.971351,1
1,1,0.787745,1
1,1,0.916746,1
1,1,0.914794,1
1,1,0.728343,1
0,0,0.977744,1
2,2,0.993236,1
2,1,0.602562,0
0,0,0.609305,1
2,2,0.987802,1
1,1,0.760405,1
2,1,0.826556,0
0,0,0.990869,1
1,1,0.898473,1
2,1,0.809986,0
1,1,0.854645,1
1,1,0.701392,1
2,2,0.989245,1
0,0,0.975152,1
1,1,0.568887,1
1,1,0.929896,1
2,1,0.664787,0
0,0,0.970001,1
1,1,0.806351,1
2,2,0.996199,1
2,2,0.989262,1
2,2,0.878488,1
0,0,0.970199,1
2,2,0.993686,1
2,1,0.77181,0
0,0,0.93758,1
1,1,0.854825,1
1,1,0.750659,1
2,2,0.985774,1
2,2,0.595181,1
2,2,0.990818,1
1,1,0.825745,1
1,1,0.907636,1
0,0,0.731063,1
2,2,0.971456,1
1,1,0.757202,1
2,2,0.991366,1
2,2,0.995397,1
0,0,0.96011,1
0,0,0.973589,1
2,1,0.77371,0
2,2,0.893091,1
2,2,0.991319,1
2,1,0.706908,0
1,1,0.696013,1
1,1,0.831333,1
0,0,0.659047,1
1,1,0.890526,1
0,0,0.976627,1
1,1,0.838907,1
2,2,0.996007,1
1,1,0.787745,1
1,1,0.901868,1
1,1,0.479095,1
0,0,0.984021,1
1,1,0.856389,1
1,2,0.554714,0
0,0,0.771734,1
1,1,0.741467,1
1,1,0.862462,1
0,0,0.948553,1
1,1,0.909501,1
2,2,0.885431,1
0,0,0.742431,1
0,0,0.967854,1
2,1,0.682488,0
2,2,0.992178,1
1,1,0.544188,1
2,2,0.992437,1
0,0,0.992041,1
2,2,0.993155,1
0,0,0.975489,1
2,2,0.916703,1
0,0,0.994611,1
1,1,0.921098,1
0,0,0.907786,1
0,0,0.990132,1
1,1,0.875758,1
2,1,0.766619,0
0,0,0.988539,1
0,0,0.969076,1
2,2,0.919455,1
2,2,0.782648,1
1,1,0.727864,1
2,2,0.992397,1
1,1,0.831333,1
0,0,0.868674,1
0,0,0.822977,1
2,2,0.807958,1
0,0,0.639964,1
0,0,0.95635,1
1,1,0.741956,1
2,2,0.995753,1
0,0,0.988017,1
2,2,0.993529,1
2,2,0.996641,1
1,1,0.921184,1
2,1,0.6677,0
1,0,0.597843,0
0,0,0.767905,1
2,2,0.989473,1
1,1,0.519978,1
1,1,0.428921,1
1,1,0.831333,1
1,1,0.855504,1
0,0,0.988952,1
1,1,0.846483,1
0,0,0.837952,1
0,0,0.579452,1
2,2,0.896344,1
2,2,0.851207,1
0,0,0.951291,1
2,2,0.994165,1
1,1,0.775256,1
2,2,0.950539,1
2,2,0.995265,1
1,1,0.790044,1
1,1,0.763203,1
2,2,0.996954,1
0,0,0.993374,1
1,1,0.428921,1
2,2,0.994274,1
1,0,0.548855,0
2,2,0.994895,1
1,2,0.852454,0
2,2,0.989721,1
1,1,0.833712,1
0,0,0.948353,1
