y_real,y_predicha,probabilidad,correcto
1,1,0.97685,1
2,2,0.989047,1
2,2,0.979196,1
0,0,0.974442,1
2,2,0.986,1
2,2,0.992321,1
2,2,0.990208,1
1,1,0.532198,1
2,2,0.992938,1
1,1,0.955264,1
2,2,0.992671,1
2,2,0.992503,1
2,2,0.99258,1
0,0,0.972942,1
0,0,0.998162,1
2,2,0.989372,1
1,1,0.972687,1
0,0,0.983112,1
1,1,0.976639,1
0,0,0.998007,1
1,1,0.974794,1
2,2,0.990552,1
1,1,0.979745,1
2,2,0.982622,1
1,1,0.970962,1
2,2,0.982622,1
0,0,0.988017,1
2,2,0.96764,1
2,2,0.987471,1
1,1,0.849214,1
1,1,0.975278,1
2,2,0.992638,1
1,1,0.976049,1
0,0,0.998166,1
2,2,0.990646,1
1,1,0.695387,1
0,0,0.973342,1
1,1,0.961138,1
2,2,0.98942,1
2,2,0.9805,1
1,1,0.964445,1
2,2,0.979109,1
0,0,0.973095,1
1,1,0.972154,1
1,1,0.977042,1
1,1,0.900632,1
2,2,0.978513,1
0,0,0.998089,1
0,0,0.998157,1
2,2,0.9805,1
1,1,0.979745,1
2,2,0.992653,1
2,2,0.989975,1
2,2,0.992194,1
1,1,0.953101,1
0,0,0.998177,1
2,2,0.988469,1
2,2,0.979726,1
1,1,0.964811,1
1,1,0.91786,1
2,2,0.992698,1
0,0,0.97198,1
0,0,0.998012,1
2,2,0.987774,1
2,2,0.98904,1
1,1,0.978361,1
2,2,0.992064,1
0,0,0.973953,1
2,2,0.993017,1
2,2,0.988106,1
2,2,0.988286,1
0,0,0.99811,1
1,1,0.866562,1
1,1,0.972813,1
1,1,0.954111,1
1,1,0.977818,1
2,2,0.98117,1
0,0,0.998244,1
2,2,0.987512,1
1,1,0.974288,1
0,0,0.97891,1
2,2,0.979109,1
0,0,0.975448,1
0,0,0.998255,1
0,0,0.987072,1
1,1,0.96843,1
0,1,0.767148,0
0,0,0.987016,1
1,1,0.974442,1
0,0,0.974881,1
1,1,0.957961,1
0,0,0.99814,1
1,1,0.973609,1
1,1,0.976276,1
0,0,0.998157,1
2,2,0.984803,1
1,1,0.978015,1
1,1,0.908467,1
2,2,0.986637,1
1,1,0.972387,1
1,1,0.978192,1
2,2,0.992671,1
2,2,0.989495,1
1,1,0.974853,1
0,0,0.97192,1
2,2,0.988999,1
2,2,0.977918,1
1,1,0.973823,1
2,2,0.992064,1
1,1,0.976288,1
0,0,0.998009,1
2,2,0.991,1
1,1,0.965973,1
0,0,0.992364,1
0,0,0.974452,1
2,2,0.989121,1
0,0,0.998048,1
1,1,0.938588,1
1,1,0.811333,1
1,1,0.973791,1
1,1,0.977415,1
0,0,0.998079,1
2,2,0.989482,1
1,1,0.975916,1
0,0,0.976501,1
2,2,0.982944,1
1,1,0.976255,1
2,2,0.984981,1
2,2,0.99236,1
0,0,0.9981,1
0,0,0.998058,1
1,1,0.975585,1
0,0,0.998067,1
1,1,0.977608,1
1,1,0.973596,1
1,1,0.987232,1
0,0,0.726462,1
1,1,0.975277,1
1,1,0.976667,1
2,2,0.992741,1
1,1,0.977232,1
0,0,0.997982,1
1,1,0.975359,1
1,1,0.928036,1
1,1,0.976292,1
2,2,0.992637,1
1,1,0.97403,1
0,0,0.976887,1
1,1,0.942583,1
1,1,0.977936,1
2,2,0.987964,1
0,0,0.802204,1
2,2,0.993017,1
1,1,0.982696,1
0,0,0.976962,1
1,1,0.975285,1
1,1,0.97452,1
2,2,0.974291,1
0,0,0.986863,1
0,0,0.97603,1
0,0,0.978378,1
0,0,0.953791,1
1,1,0.972478,1
0,0,0.998024,1
1,1,0.977752,1
0,0,0.977568,1
0,0,0.977948,1
2,2,0.986069,1
2,2,0.990696,1
0,0,0.998117,1
0,0,0.975674,1
2,2,0.992773,1
2,2,0.986185,1
1,1,0.977302,1
1,1,0.979587,1
1,1,0.951062,1
2,2,0.992409,1
1,1,0.97271,1
0,0,0.975147,1
0,0,0.977978,1
1,1,0.979457,1
1,1,0.899691,1
1,0,0.549621,0
0,0,0.974912,1
1,1,0.978534,1
0,0,0.976236,1
1,1,0.974544,1
1,1,0.717493,1
1,1,0.974015,1
0,0,0.977918,1
1,1,0.960852,1
2,2,0.992287,1
0,0,0.998117,1
0,0,0.973642,1
1,1,0.935399,1
2,2,0.986493,1
0,0,0.998027,1
2,2,0.990872,1
2,2,0.988824,1
1,1,0.897739,1
1,1,0.950813,1
