y_real,y_predicha,probabilidad,correcto
0,0,0.981116,1
1,1,0.972194,1
0,1,0.495974,0
1,1,0.97179,1
2,2,0.977822,1
2,1,0.661299,0
2,2,0.991321,1
2,2,0.992624,1
2,2,0.975913,1
0,0,0.981168,1
2,2,0.980896,1
2,2,0.991241,1
1,1,0.63299,1
2,2,0.991631,1
2,2,0.989242,1
1,1,0.972545,1
0,0,0.980939,1
1,1,0.972463,1
1,1,0.479786,1
0,0,0.952443,1
1,1,0.972441,1
2,2,0.975012,1
2,2,0.99076,1
1,1,0.972016,1
0,0,0.980755,1
2,2,0.977363,1
0,0,0.981008,1
0,0,0.980868,1
2,2,0.989761,1
1,1,0.971377,1
0,0,0.981006,1
2,1,0.482816,0
2,2,0.975809,1
1,1,0.971441,1
0,0,0.980765,1
2,2,0.993718,1
1,1,0.97232,1
1,1,0.972055,1
2,2,0.993543,1
2,2,0.994141,1
2,2,0.989938,1
0,0,0.981483,1
2,2,0.977308,1
2,2,0.976688,1
1,1,0.971605,1
1,1,0.971845,1
1,2,0.469371,0
1,1,0.972356,1
0,0,0.981412,1
1,1,0.972193,1
1,1,0.972513,1
0,0,0.980967,1
1,1,0.972698,1
1,2,0.586482,0
0,0,0.980948,1
2,2,0.991483,1
0,0,0.980925,1
1,1,0.972194,1
0,0,0.98112,1
1,1,0.971415,1
2,2,0.977508,1
1,1,0.971088,1
0,1,0.508468,0
1,1,0.971605,1
0,0,0.981248,1
2,2,0.975734,1
0,0,0.980919,1
2,2,0.983083,1
0,0,0.980724,1
1,1,0.972039,1
2,2,0.878843,1
1,1,0.972357,1
2,2,0.992272,1
0,0,0.980413,1
0,0,0.981306,1
2,2,0.989769,1
1,1,0.581616,1
1,1,0.972171,1
0,0,0.981017,1
1,1,0.972092,1
1,1,0.972536,1
0,0,0.980739,1
2,2,0.972798,1
2,2,0.991383,1
1,1,0.971377,1
1,1,0.972046,1
1,1,0.971694,1
2,2,0.975907,1
2,2,0.973783,1
1,1,0.972311,1
1,1,0.972533,1
2,2,0.972063,1
0,0,0.981188,1
2,2,0.990511,1
2,2,0.976868,1
1,1,0.971281,1
2,2,0.976399,1
1,1,0.972215,1
0,0,0.981347,1
2,2,0.990712,1
0,0,0.981331,1
0,0,0.980748,1
2,2,0.971289,1
2,2,0.56235,1
1,1,0.971338,1
0,0,0.980595,1
0,0,0.981282,1
0,0,0.981505,1
0,0,0.980882,1
0,0,0.981352,1
1,1,0.971959,1
0,0,0.981063,1
1,1,0.972568,1
2,2,0.965816,1
0,0,0.981038,1
1,1,0.971807,1
1,1,0.972158,1
1,1,0.971594,1
2,2,0.538663,1
1,1,0.972308,1
2,2,0.976484,1
0,0,0.980552,1
2,1,0.572577,0
1,1,0.972389,1
1,1,0.972158,1
1,1,0.972021,1
1,0,0.446063,0
0,0,0.981442,1
1,1,0.971626,1
2,2,0.991346,1
0,0,0.981408,1
0,0,0.980298,1
1,1,0.972064,1
0,0,0.981385,1
0,0,0.98164,1
1,1,0.972064,1
0,0,0.980984,1
2,2,0.99375,1
1,1,0.972688,1
1,1,0.972453,1
1,1,0.97254,1
0,0,0.9804,1
2,2,0.977199,1
2,2,0.980299,1
2,2,0.990366,1
0,0,0.980859,1
0,0,0.980974,1
0,0,0.981143,1
