y_real,y_predicha,probabilidad,correcto
0,0,0.980898,1
0,0,0.991409,1
2,2,0.995771,1
1,1,0.785698,1
2,2,0.990062,1
0,0,0.980837,1
1,1,0.726355,1
2,2,0.987346,1
2,2,0.76546,1
2,2,0.982005,1
2,2,0.995787,1
0,0,0.7625,1
0,0,0.789702,1
0,0,0.985166,1
1,2,0.568133,0
2,2,0.99414,1
1,1,0.703204,1
1,1,0.697283,1
1,2,0.50568,0
0,0,0.989332,1
2,2,0.990385,1
0,0,0.963378,1
2,2,0.850218,1
2,2,0.995588,1
2,2,0.524809,1
1,1,0.942641,1
2,2,0.846618,1
1,1,0.938792,1
2,2,0.969525,1
2,2,0.994361,1
0,0,0.981902,1
2,2,0.835356,1
0,0,0.990417,1
0,0,0.755744,1
0,0,0.993486,1
0,0,0.991723,1
1,1,0.769214,1
0,0,0.971464,1
2,2,0.981395,1
0,0,0.972937,1
1,1,0.639898,1
2,2,0.98592,1
1,1,0.953007,1
2,2,0.981395,1
2,2,0.996475,1
0,0,0.744315,1
0,0,0.980191,1
1,1,0.762594,1
2,2,0.847603,1
1,1,0.943179,1
0,0,0.987786,1
2,2,0.983854,1
0,0,0.971271,1
0,0,0.965223,1
1,1,0.847465,1
2,2,0.970705,1
0,0,0.980436,1
2,2,0.737624,1
1,1,0.709259,1
2,2,0.748971,1
2,2,0.991195,1
0,0,0.982328,1
2,2,0.498863,1
1,1,0.847869,1
0,0,0.986577,1
0,0,0.824226,1
1,0,0.542732,0
2,2,0.802272,1
0,0,0.745006,1
1,1,0.710486,1
1,1,0.957164,1
0,0,0.984085,1
2,2,0.976212,1
1,0,0.614696,0
0,0,0.970432,1
2,2,0.988473,1
2,2,0.625446,1
0,0,0.992252,1
2,2,0.969365,1
1,1,0.954207,1
1,1,0.802415,1
1,1,0.563327,1
2,2,0.97913,1
0,0,0.987612,1
0,0,0.989428,1
1,1,0.947105,1
1,1,0.725827,1
1,1,0.815655,1
0,0,0.968814,1
0,0,0.987813,1
1,1,0.957908,1
1,1,0.945211,1
1,1,0.628588,1
2,2,0.677343,1
0,0,0.992176,1
1,1,0.947197,1
0,0,0.982765,1
1,1,0.957194,1
0,0,0.99137,1
1,1,0.957776,1
0,0,0.987229,1
2,2,0.981496,1
2,2,0.601825,1
0,0,0.964865,1
0,0,0.705906,1
0,0,0.52516,1
0,0,0.9908,1
1,1,0.741967,1
2,2,0.574447,1
0,0,0.991381,1
1,1,0.849462,1
1,1,0.933273,1
0,0,0.990737,1
2,2,0.782398,1
2,2,0.991363,1
2,2,0.966022,1
2,2,0.985066,1
1,1,0.780709,1
0,0,0.721336,1
2,2,0.794652,1
2,2,0.98164,1
0,0,0.991556,1
0,0,0.974969,1
2,2,0.7444,1
0,0,0.820861,1
2,2,0.98991,1
1,1,0.84045,1
0,0,0.990768,1
0,0,0.874186,1
2,2,0.916908,1
2,2,0.747966,1
0,0,0.965163,1
0,0,0.711233,1
1,1,0.882707,1
0,1,0.612354,0
0,0,0.77731,1
2,2,0.827269,1
1,1,0.937891,1
0,0,0.991225,1
2,2,0.991848,1
1,1,0.845065,1
0,0,0.877333,1
0,0,0.974244,1
0,0,0.990577,1
1,1,0.647592,1
1,1,0.952059,1
1,1,0.634602,1
1,1,0.95758,1
1,1,0.71913,1
2,2,0.979499,1
1,1,0.958128,1
2,2,0.995094,1
1,1,0.616296,1
0,0,0.99321,1
0,0,0.983006,1
1,2,0.548572,0
1,1,0.651427,1
1,1,0.589907,1
0,1,0.534083,0
0,0,0.770288,1
2,2,0.607954,1
2,2,0.987346,1
2,2,0.974895,1
1,1,0.813661,1
1,1,0.513615,1
0,0,0.762552,1
1,1,0.953118,1
2,2,0.760248,1
0,0,0.98779,1
0,0,0.976091,1
1,1,0.779219,1
2,2,0.992473,1
0,0,0.99413,1
0,0,0.992852,1
1,1,0.642997,1
0,0,0.799114,1
0,0,0.669677,1
1,1,0.907553,1
1,1,0.812889,1
2,2,0.828024,1
1,1,0.955507,1
1,1,0.95722,1
0,0,0.989941,1
2,2,0.991791,1
2,2,0.978396,1
1,1,0.780873,1
2,2,0.996423,1
2,2,0.992498,1
2,2,0.984412,1
1,1,0.933363,1
2,2,0.85274,1
2,2,0.797249,1
1,1,0.724219,1
0,0,0.989507,1
0,0,0.884095,1
0,0,0.988985,1
2,2,0.987916,1
0,0,0.974626,1
0,0,0.985528,1
1,1,0.957546,1
1,1,0.95682,1
0,0,0.970411,1
2,2,0.780015,1
0,0,0.713471,1
2,2,0.865588,1
0,0,0.577262,1
2,2,0.736854,1
0,0,0.812361,1
1,1,0.797655,1
0,0,0.983693,1
0,0,0.992474,1
0,0,0.620553,1
2,2,0.987879,1
0,0,0.980061,1
2,2,0.836772,1
2,2,0.991402,1
0,0,0.991225,1
0,0,0.991303,1
2,2,0.979789,1
2,2,0.991458,1
2,2,0.774894,1
1,1,0.820169,1
0,0,0.986465,1
0,0,0.981189,1
2,2,0.984879,1
2,2,0.70433,1
0,0,0.739027,1
0,0,0.987121,1
1,1,0.64125,1
1,1,0.814797,1
0,0,0.989325,1
0,0,0.986744,1
2,2,0.785774,1
0,1,0.670703,0
0,0,0.984702,1
1,1,0.947187,1
0,1,0.502901,0
2,2,0.797223,1
0,0,0.985185,1
2,2,0.985581,1
1,1,0.945718,1
1,1,0.95282,1
1,1,0.650092,1
